0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
67.4,67.4,67.4,67.4,67.4,67.4,67.41,67.4,67.41,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,70.36,67.4,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,66.89,75.04,75.04,76.58,76.83,75.04,75.04,70.67,71.17,71.28,71.3,71.17,70.9,70.9,70.9,71.17,69.32,65.43,65.82,65.87,65.87,65.89,65.87,65.76,72.38,72.38,72.38,72.38,72.38,72.38,72.38,72.06,71.14,71.14,71.14,69.15,71.37,68.7,68.7,73.02,72.68,68.7,68.7,68.7,68.7,69.08,68.7,68.7,68.7,73.59,75.66,74.65,74.66,74.56,74.56,69.35,69.79,70.5,70.63,70.65,70.65,70.5,70.5,69.54,66.14,66.59,66.59,66.59,66.55,66.59,66.59,67.85,68.1,71.95,73.14,73.14,73.14,71.77,67.85,71.68,68.45,68.45,68.45,68.45,68.45,68.45,68.44,67.84,63.29,62.27,63.35,63.35,63.35,63.35,63.35,64.92,67.84,68.43,68.43,68.43,68.49,68.62,68.45,68.43,68.65,68.53,68.53,68.53,68.65,68.65,68.65,68.65,66.03,65.99,66.74,66.74,66.74,66.74,66.74,68.65,68.65,69.27,70.88,71.05,71.25,70.88,69.27,69.27
82.64,76.48,82.64,82.64,82.64,82.64,82.64,74.37,74.37,74.75,74.76,74.76,74.76,74.76,74.37,74.37,74.37,81.2,82.64,82.64,82.64,82.64,82.64,80.53,57.79,56.61,56.61,56.61,56.61,60.24,61.78,56.61,56.49,56.61,56.61,56.61,56.61,56.61,56.61,56.61,56.61,56.61,60.18,60.18,60.18,60.18,60.18,58.63,211.08,211.08,211.08,211.08,211.08,217.23,217.23,45.52,36.34,36.3,36.34,36.34,36.34,36.34,36.34,36.34,36.34,51.67,60.32,60.32,60.32,60.32,60.32,60.32,211.09,211.09,211.09,211.09,211.09,211.09,211.09,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,77.22,77.22,77.22,77.22,77.22,77.22,134.65,110.44,99.62,99.52,99.52,105.45,100.81,65.74,61.53,61.53,61.68,61.68,61.68,61.68,61.68,61.53,61.53,68.06,91.53,109.81,109.85,109.67,91.53,91.53,683.65,365.24,211.09,211.08,210.45,217.24,217.23,57.67,55.46,55.46,55.46,55.46,55.46,55.47,55.46,55.46,55.46,73.95,73.95,73.95,79.73,85.87,73.95,67.4,68.91,66.56,65.73,65.73,65.73,71.88,71.88,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,72.72,72.68,72.72,72.68,72.68,72.68,72.68
111.75,105.6,104.2,104.2,103.0,100.27,82.31,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,61.62,82.34,96.28,102.43,102.43,102.43,102.43,102.43,279.08,246.81,279.08,244.19,225.56,217.23,82.1,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,61.95,68.84,68.84,68.84,69.52,69.52,69.52,68.84,69.13,68.16,68.16,68.16,68.16,68.19,67.87,67.87,61.07,61.07,61.07,61.07,61.07,61.04,61.07,61.07,61.07,61.07,62.01,63.64,65.18,65.18,64.02,63.64,63.64,81.38,81.38,81.38,81.38,80.96,80.96,80.96,67.7,58.75,60.6,60.69,60.69,60.62,60.61,58.6,60.6,64.89,76.76,75.23,75.23,75.23,75.23,75.23,75.23,258.07,258.07,259.6,258.07,258.07,258.07,96.05,67.28,56.39,56.39,56.39,56.39,56.39,56.39,56.39,56.39,57.11,73.07,73.59,73.07,73.62,73.85,73.85,73.07,77.94,77.94,77.94,77.94,78.17,77.94,77.94,60.66,60.66,60.66,60.66,60.66,60.66,60.66,60.66,77.37,77.04,77.06,77.06,77.16,77.06,77.06,77.06,77.04,75.39,75.39,75.39,77.65,75.39,75.39,72.75,56.55,55.96,55.96,56.55,55.96,55.96,55.96,55.96,55.96,59.88,75.06,75.39,75.39,75.39,75.39,75.39,75.39
78.71,78.92,78.85,78.85,78.71,78.71,76.1,45.52,28.59,28.59,28.59,28.59,28.59,28.59,28.59,29.43,38.65,68.38,68.38,68.38,68.38,68.38,68.38,61.54,201.0,201.0,201.0,201.0,201.0,201.0,64.84,59.77,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,66.67,118.72,121.33,127.64,121.33,121.33,121.33,121.33,484.99,303.14,101.86,101.56,101.86,101.8,96.23,60.07,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,53.25,63.54,63.54,65.14,63.54,63.54,63.54,63.54,63.69,63.69,63.69,63.69,60.37,63.69,63.69,41.09,30.91,30.91,30.91,30.91,30.91,30.91,30.91,30.91,37.9,59.45,59.45,59.45,59.45,59.45,59.45,59.17,57.98,58.0,58.0,58.0,58.0,57.86,56.62,36.9,36.01,36.01,36.01,36.01,36.05,36.01,36.01,36.01,43.05,57.41,57.41,57.41,57.41,57.41,57.41,57.41,210.55,210.55,210.55,210.55,210.55,216.7,217.24,60.62,60.4,60.4,60.62,54.47,60.62,60.62,60.62,60.62,60.62,70.59,82.96,82.96,82.96,82.96,81.05,81.16,75.99,75.99,75.99,75.99,75.99,75.99,75.99,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,75.89,75.99,88.63,88.64,75.99,75.99,75.99
213.12,211.08,199.9,211.08,211.08,211.08,202.35,61.0,59.6,59.56,59.56,59.51,59.51,59.51,59.51,59.51,59.51,66.12,66.12,66.12,64.3,64.49,61.0,61.0,58.08,58.08,58.08,58.08,58.08,63.64,62.2,58.21,58.21,58.08,58.08,58.08,58.08,58.08,58.08,58.28,71.21,71.21,70.79,71.21,70.98,70.98,65.06,65.06,72.76,72.76,72.76,69.39,68.43,72.76,72.76,69.41,65.48,65.48,65.48,65.48,65.48,69.41,69.27,69.41,72.76,72.76,72.76,72.76,72.76,72.76,72.76,69.31,73.12,73.12,74.76,76.41,73.42,76.41,72.81,59.22,59.22,59.22,59.22,59.22,59.34,59.22,59.36,65.5,78.96,78.96,78.96,80.92,78.96,78.96,78.96,72.81,77.21,77.21,77.21,77.21,70.86,72.83,67.05,57.28,57.27,57.28,57.28,57.27,57.28,57.28,57.27,57.28,61.32,70.21,68.87,68.86,68.86,68.86,68.73,68.76,211.08,211.08,211.08,211.08,211.08,211.08,211.08,60.36,60.36,60.36,60.36,60.36,60.36,60.36,65.79,65.89,68.81,69.64,69.65,69.64,69.64,69.64,69.64,69.64,216.32,216.32,216.32,216.32,216.32,222.47,211.31,53.24,53.24,53.24,53.24,53.24,53.24,53.24,53.25,53.25,55.81,59.15,59.15,59.15,59.15,59.15,56.92,57.3
91.27,90.1,91.27,91.27,91.27,91.27,91.37,55.19,49.74,49.74,49.74,49.74,49.74,49.74,55.24,55.19,55.24,55.26,55.26,55.26,55.26,55.26,52.93,54.04,62.98,69.83,70.04,70.04,70.04,70.04,70.04,53.07,43.51,43.51,43.51,43.51,43.51,48.19,48.03,47.82,48.19,53.4,53.4,53.4,53.4,53.4,53.4,53.4,220.22,220.22,220.22,220.22,220.22,220.22,210.01,50.17,46.67,46.67,46.67,46.67,46.67,46.67,49.22,49.22,49.22,51.86,51.86,51.86,51.86,51.86,51.86,51.39,57.56,57.56,57.56,57.56,57.56,57.56,57.56,53.25,53.11,53.11,53.11,53.11,53.11,53.11,53.25,53.25,47.09,57.55,57.55,57.55,57.55,57.55,57.57,57.65,211.38,211.09,211.09,211.09,210.38,211.09,193.26,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,50.49,61.93,61.93,61.93,61.93,61.93,61.93,61.93,107.83,107.48,107.48,107.32,107.24,113.39,113.39,54.26,36.92,36.92,36.92,36.92,36.92,36.92,36.92,36.92,37.32,54.44,54.44,54.44,54.44,54.44,54.44,54.44,59.47,59.47,60.92,59.47,59.47,59.47,59.47,45.52,32.58,32.58,32.58,32.58,32.58,32.58,32.58,32.58,48.08,60.26,60.26,60.26,60.26,60.26,60.26,60.26
61.51,61.51,61.51,61.51,61.51,61.51,61.51,49.85,48.0,47.98,47.98,48.0,48.01,48.01,47.98,48.22,55.18,61.51,61.51,61.51,61.51,61.51,61.51,61.51,58.89,58.89,58.89,58.89,58.89,58.89,58.89,56.16,50.49,50.62,50.62,50.62,50.62,50.62,50.49,50.49,57.62,58.89,58.89,58.89,58.89,58.89,58.89,58.89,60.62,60.62,60.62,60.62,60.62,60.62,60.62,60.27,46.37,46.34,46.37,46.37,46.37,46.37,46.37,46.67,60.62,60.62,60.62,60.62,60.62,60.62,60.62,60.62,61.45,61.45,61.45,61.45,61.45,61.26,61.26,47.7,37.98,38.0,38.0,38.0,38.02,38.0,37.98,38.31,53.09,60.34,60.34,60.82,60.82,60.82,60.34,60.82,217.23,217.23,217.24,217.23,211.09,217.23,217.24,53.25,45.2,45.2,45.2,45.42,45.65,45.42,45.2,45.2,45.2,63.85,63.82,63.85,63.82,63.92,63.93,63.93,59.91,59.91,59.91,59.91,59.91,59.91,59.91,37.7,36.46,36.54,36.54,36.52,36.52,36.46,36.52,38.63,58.48,58.48,58.48,58.48,58.48,58.48,58.48,58.48,57.87,57.87,57.87,57.87,57.87,57.87,57.87,49.22,46.74,49.21,49.21,49.21,49.21,49.21,49.47,49.34,57.87,57.87,57.87,57.87,57.87,57.87,57.87,57.87
66.36,66.36,66.36,66.35,60.45,60.45,60.45,61.98,60.48,60.64,60.76,60.88,61.0,60.88,61.0,60.85,60.76,60.85,60.45,67.56,70.59,70.59,66.36,60.81,84.11,72.93,72.93,72.93,72.93,72.93,60.51,66.67,62.12,62.12,62.12,62.12,62.12,62.12,62.12,62.12,66.59,74.7,75.3,75.3,75.2,73.54,73.51,73.51,72.98,74.74,74.92,74.74,74.92,74.74,72.98,68.77,68.77,68.77,69.44,69.44,69.44,69.44,69.44,69.44,88.36,107.46,124.5,124.26,114.87,114.87,114.87,114.87,217.47,217.23,208.52,208.18,208.4,206.27,148.16,83.67,70.68,70.74,70.8,70.82,70.74,70.78,62.62,69.43,74.49,90.24,99.18,98.71,99.17,99.18,99.18,99.18,123.49,123.02,97.13,93.01,92.98,92.98,92.98,65.59,64.02,63.94,63.94,64.02,64.02,64.02,64.02,64.02,92.98,115.05,130.32,131.03,129.7,130.47,130.47,130.47,232.85,217.23,217.23,217.23,217.23,217.04,214.08,67.48,60.73,60.73,60.6,60.17,60.17,60.17,60.17,60.17,87.25,112.11,112.11,112.11,112.11,112.11,112.11,113.0,222.48,222.48,222.48,217.24,84.05,78.01,64.72,64.72,64.81,64.84,64.84,64.84,64.72,64.72,64.72,64.72,87.37,112.71,112.71,115.14,115.14,115.23,115.14,115.14
66.72,66.72,66.72,66.72,66.51,66.43,62.72,60.62,61.92,62.79,62.8,62.72,62.48,62.48,62.17,64.44,66.72,68.75,68.72,68.75,68.75,68.75,68.75,68.75,77.49,77.49,77.49,77.49,77.49,77.49,65.79,64.2,64.33,64.44,64.45,64.45,64.03,64.03,64.2,65.78,77.49,88.99,88.99,88.99,87.97,87.97,88.99,88.99,217.22,217.23,217.23,217.23,217.23,217.19,206.16,80.53,80.53,80.55,80.53,80.53,80.53,80.53,80.53,80.53,93.25,105.84,105.84,105.84,105.84,105.84,105.84,105.84,217.24,217.24,217.24,217.24,217.18,181.73,61.37,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,61.94,89.61,159.01,171.25,171.25,171.25,171.25,171.25,171.25,69.74,69.49,69.49,69.49,69.49,71.02,71.83,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,63.41,69.56,69.49,69.49,70.42,70.42,70.42,69.49,69.49,67.71,67.71,68.07,67.71,67.71,71.04,67.71,67.7,70.26,70.29,68.04,67.71,67.71,67.71,67.7,67.71,67.7,67.71,70.29,76.06,76.06,76.06,75.33,75.33,68.73,67.74,68.87,66.3,66.3,66.3,62.4,66.3,66.3,66.34,66.3,66.45,66.1,63.95,64.02,67.28,66.3,66.3,66.3,69.52,69.52,66.3,66.3,66.3
217.0,217.32,217.32,217.23,217.23,216.81,216.64,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,62.84,64.83,84.16,90.31,90.31,90.31,90.31,84.16,217.24,217.23,217.23,217.23,217.23,216.81,95.04,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,61.44,75.57,101.2,101.2,101.2,101.2,101.2,95.04,217.01,217.01,217.01,217.24,217.24,216.78,101.23,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,63.87,96.19,99.25,99.92,97.51,96.19,93.76,93.76,76.61,76.61,71.17,71.17,70.88,70.45,64.63,61.97,61.97,62.11,61.97,61.97,61.97,61.97,61.97,61.97,61.97,73.53,76.34,76.34,76.61,70.51,70.51,70.45,58.6,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,58.37,67.15,65.51,65.45,65.27,65.25,65.11,65.11,65.36,65.36,65.36,65.36,65.36,65.36,65.36,58.82,57.9,58.03,58.15,56.23,58.82,58.76,58.62,58.82,58.82,74.97,74.97,74.97,74.97,74.77,74.64,74.13,76.25,76.25,76.25,76.25,76.25,76.25,75.55,59.52,57.94,58.14,57.99,58.01,58.01,57.99,57.94,59.52,66.13,66.13,66.13,66.13,66.13,66.13,66.13,66.13
217.23,211.08,217.23,217.23,217.23,217.23,217.23,217.23,57.05,52.38,52.38,52.38,52.38,52.38,52.38,52.38,201.85,201.85,215.98,201.85,201.85,201.85,201.85,201.85,70.09,70.09,70.09,70.09,70.09,70.09,70.09,62.44,62.2,62.2,62.2,62.18,62.28,62.2,62.2,62.2,70.09,70.09,70.09,70.09,70.09,70.09,70.09,70.09,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,58.03,58.03,58.03,58.03,58.15,58.07,58.03,58.03,72.49,72.49,72.49,72.49,72.49,72.49,72.49,72.49,67.29,67.29,67.29,67.29,67.29,73.55,74.77,67.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,67.29,63.48,63.48,63.48,63.48,63.48,63.48,63.48,60.52,53.25,53.25,53.25,53.25,53.25,53.25,53.25,54.9,63.39,63.39,63.39,63.39,63.39,63.39,57.05,57.05,63.36,63.36,63.36,62.12,70.4,70.4,70.16,64.34,62.61,62.81,62.14,62.09,62.17,62.61,62.61,62.61,77.93,77.93,79.75,77.93,77.93,77.93,77.93,77.93,81.45,81.08,81.08,81.08,81.08,81.08,81.08,79.33,69.67,69.69,69.72,69.72,69.67,69.67,69.67,69.67,77.51,76.48,77.41,77.41,77.41,77.41,77.41,76.07
